source_id,source_name,country,region_scope,module,source_type,url,tier,notes
CN_FINANCING_014,巨潮资讯 CNInfo,China,China,Technology;Financing;Chip_AI_Compute,Filing,https://www.cninfo.com.cn/,A_Active,merged original entries: 航天智装 / 航天环宇等上市公司公告
CN_TECH_015,中国科学院微小卫星创新研究院,China,China,Technology;Policy;Market_Background,Research_Institute,https://www.microsate.cas.cn/,A_Active,Added based on space-compute weekly brief requirements.
CN_TECH_016,中国科学院空天信息创新研究院 AIR CAS,China,China,Technology;Policy;Market_Background,Research_Institute,https://www.aircas.cas.cn/,A_Active,Added based on space-compute weekly brief requirements.
EU_TECH_001,KP Labs,Europe,International,Technology;Financing,Company,https://www.kplabs.space/,A_Active,"Intuition-1, hyperspectral onboard AI, data processing units, algorithms."
EU_TECH_002,Ubotica,Europe,International,Technology;Financing,Company,https://ubotica.com/news/,A_Active,"CogniSAT, satellite AI, ESA/commercial mission updates, edge inference."
EU_TECH_003,Unibap Space Solutions,Europe,International,Technology;Financing,Company,https://unibap.com/solutions/software/osfw/,A_Active,"SpaceCloud OS/FW, onboard computing platform, in-orbit processing."
EU_TECH_004,垣信卫星 SpaceSail / G60 千帆,Europe,International,Technology;Financing,Company,https://www.spacesail.com/,A_Active,"Megaconstellation launch cadence, international partnerships, financing, supply chain."
EU_FINANCING_001,航天宏图 PIESAT,Europe,International,Technology;Financing,Filing,https://www.piesat.cn/,A_Active,"Nuwa SAR constellation, PIE-Engine, remote sensing AI, listed-company filings."
GLOBAL_CHIP_AI_001,TrendForce,Global,Global,Chip_AI_Compute;Market_Background,Company,https://www.trendforce.com/news/,A_Active,subscription required; useful only when chip / AI compute overlaps with space
GLOBAL_FINANCING_003,Bloomberg,Global,Global,Policy;Financing;Chip_AI_Compute,Financial_Media,https://www.bloomberg.com/,A_Active,subscription required
GLOBAL_FINANCING_004,Financial Times,Global,Global,Policy;Financing;Chip_AI_Compute,Financial_Media,https://www.ft.com/,A_Active,subscription required
GLOBAL_TECH_001,SpaceWatch Global,Global,Global,Policy;Technology,Industry_Media,https://spacewatch.global/,A_Active,"International cooperation, commercial stations, microgravity research."
GLOBAL_TECH_002,ICEYE,Global,Global,Technology;Financing,Company,https://www.iceye.com/newsroom/press-releases,A_Active,"SAR remote sensing, near-real-time disaster monitoring, sovereign/government orders."
JP_CHIP_AI_001,Nikkei Asia,Japan,International,Policy;Financing;Chip_AI_Compute,Industry_Media,https://asia.nikkei.com/,A_Active,subscription required; original country value normalized from: Asia
OTHER_TECH_001,Spiral Blue,Other,International,Technology;Financing,Company,https://www.spiralblue.space/updates,A_Active,"Space Edge Computer, in-orbit AI hardware, EO data processing."
US_CHIP_AI_001,SemiAnalysis,US,Global,Chip_AI_Compute;Market_Background,Company,https://semianalysis.com/,A_Active,subscription required; useful only when chip / AI compute overlaps with space; original country value normalized from: US/Global
US_FINANCING_005,Business Wire,US,Global,Financing,Wire_Service,https://www.businesswire.com/,A_Active,original country value normalized from: US/Global
US_FINANCING_006,GlobeNewswire,US,Global,Financing,Wire_Service,https://www.globenewswire.com/,A_Active,original country value normalized from: US/Global
US_FINANCING_007,USAspending.gov,US,US,Financing,Database,https://www.usaspending.gov/,A_Active,Federal spending and contract amounts.
US_FINANCING_008,PitchBook,US,Global,Financing;Chip_AI_Compute,Database,https://pitchbook.com/,A_Active,subscription required; original country value normalized from: US/Global; database signals should be verified with primary/public sources
US_FINANCING_009,BryceTech,US,Global,Financing;Market_Background,Research_Institute,https://brycetech.com/,Backup,original country value normalized from: US/Global
US_FINANCING_010,Space Capital,US,Global,Financing;Market_Background,Research_Institute,https://spacecapital.com/,A_Active,original country value normalized from: US/Global
US_FINANCING_011,Defense SBIR/STTR Innovation Portal DSIP,US,US,Financing;Technology;Policy,Database,https://www.defensesbirsttr.mil/SBIR-STTR/Program/,A_Active,Added based on space-compute weekly brief requirements.
US_CHIP_AI_002,CSET,US,US,Policy;Chip_AI_Compute;Market_Background,Think_Tank,https://cset.georgetown.edu/,A_Active,useful only when chip / AI compute overlaps with space
US_SOURCE_001,Breaking Defense,US,US,Policy;Financing,Industry_Media,https://breakingdefense.com/,A_Active,Defense space and procurement.
US_SOURCE_002,Defense News,US,US,Policy;Financing,Industry_Media,https://www.defensenews.com/,A_Active,Defense acquisition and commercial contracts.
US_FINANCING_012,DOD Contract Announcements,US,US,Policy;Financing,Company,https://www.defense.gov/News/Contracts/,A_Active,"Daily defense contracts, space and launch awards."
US_FINANCING_013,SAM.gov,US,US,Policy;Financing,Database,https://sam.gov/,A_Active,US federal procurement and solicitations.
US_CHIP_AI_003,NIST CHIPS for America,US,US,Policy;Financing;Chip_AI_Compute,Company,https://www.nist.gov/chips,A_Active,useful only when chip / AI compute overlaps with space
US_FINANCING_014,Wall Street Journal,US,Global,Policy;Financing;Chip_AI_Compute,Financial_Media,https://www.wsj.com/,A_Active,subscription required; original country value normalized from: US/Global
US_POLICY_014,CSIS Aerospace Security,US,US,Policy;Market_Background,Think_Tank,https://www.csis.org/programs/aerospace-security-project,A_Active,Space security and commercial space strategic context.
US_TECH_007,Aviation Week Space,US,Global,Policy;Technology,Industry_Media,https://aviationweek.com/defense-space/space,A_Active,subscription required; original country value normalized from: US/Global
US_POLICY_015,NOAA Office of Space Commerce,US,US,Policy;Technology,Official,https://www.space.commerce.gov/,A_Active,"Commercial remote sensing, mission authorization, space traffic."
US_TECH_008,Via Satellite / Satellite Today,US,Global,Policy;Technology,Industry_Media,https://www.satellitetoday.com/,A_Active,original country value normalized from: US/Global
US_POLICY_016,AFRL Space Vehicles Directorate,US,US,Policy;Technology;Financing,Official,https://www.afrl.af.mil/RV/,A_Active,Added based on space-compute weekly brief requirements.
US_POLICY_017,Defense Innovation Unit DIU,US,US,Policy;Technology;Financing,Official,https://www.diu.mil/latest,A_Active,"Commercial technology entering defense, hybrid space architecture, prototype awards."
US_POLICY_018,National Geospatial-Intelligence Agency NGA,US,US,Policy;Technology;Financing,Official,https://www.nga.mil/news/,A_Active,"GEOINT AI, commercial imagery analytics, data platforms, acquisition vehicles."
US_POLICY_019,Space Rapid Capabilities Office,US,US,Policy;Technology;Financing,Official,https://www.spaceforce.mil/About-Us/Fact-Sheets/Article/2332565/space-rapid-capabilities-office/,A_Active,Added based on space-compute weekly brief requirements.
US_TECH_009,Ars Technica Space,US,US,Technology,Industry_Media,https://arstechnica.com/science/space/,A_Active,SpaceX/NASA engineering and industry analysis.
US_TECH_010,AMD Space,US,US,Technology;Chip_AI_Compute,Company,https://www.amd.com/en/solutions/aerospace-and-defense/space.html,A_Active,"Space-grade FPGAs, Versal XQR, Kintex/Virtex, onboard AI and reconfigurable processing."
US_TECH_011,BAE Systems Space Electronics,US,US,Technology;Chip_AI_Compute,Company,https://www.baesystems.com/en-us/who-we-are/electronic-systems/c4isr/space-electronics,A_Active,"Radiation-hardened processors, ASICs, electronics, mission computers."
US_TECH_012,CAES,US,US,Technology;Chip_AI_Compute,Company,https://caes.com/products,A_Active,"Space-grade RF, processors, radiation-hardened components, LEON/SPARC context."
US_TECH_013,Frontgrade Technologies,US,US,Technology;Chip_AI_Compute,Company,https://www.frontgrade.com/radhard,A_Active,"Radiation-hardened and high-reliability processors, memory, power, analog, ASIC/IP."
US_FINANCING_015,AST SpaceMobile,US,US,Technology;Financing,Filing,https://ast-science.com/,A_Active,"BlueBird satellites, D2D, carrier partnerships, spectrum."
US_TECH_014,Axiom Space,US,US,Technology;Financing,Company,https://www.axiomspace.com/,A_Active,"Axiom Station, private astronaut missions, EVA suit."
US_TECH_015,BlackSky,US,US,Technology;Financing,Company,https://ir.blacksky.com/news-events/press-releases,A_Active,"Commercial remote sensing, AI-enabled analytics, government orders, SEC-linked news."
US_TECH_016,Capella Space,US,US,Technology;Financing,Company,https://www.capellaspace.com/,A_Active,"SAR imagery, tasking, government and defense customers; cross-check wire and buyer releases."
US_TECH_017,Firefly Aerospace,US,US,Technology;Financing,Company,https://fireflyspace.com/,A_Active,"Alpha, Blue Ghost, Elytra, defense contracts."
US_TECH_018,HawkEye 360,US,US,Technology;Financing,Company,https://www.he360.com/newsroom/,A_Active,"RF geolocation, maritime/domain awareness, defense and intelligence customers."
US_POLICY_020,IARPA,US,US,Technology;Financing,Official,https://www.iarpa.gov/newsroom,A_Active,"Intelligence-side AI, remote sensing, geospatial models, compute-adjacent R&D."
US_FINANCING_016,Intuitive Machines,US,US,Technology;Financing,Filing,https://investors.intuitivemachines.com/news-events/news-releases/default.aspx,A_Active,Commercial lunar missions and NASA contracts.
US_TECH_019,Loft Orbital,US,Global,Technology;Financing,Company,https://loftorbital.com/newsroom/,A_Active,original country value normalized from: US/Global
US_TECH_020,Maxar Intelligence,US,US,Technology;Financing,Company,https://maxar.com/press-releases,A_Active,"High-resolution geospatial intelligence, WorldView Legion, 3D/AI products, contracts."
US_TECH_021,Muon Space,US,US,Technology;Financing,Company,https://www.muonspace.com/press/,A_Active,"Earth observation constellations, climate data, configurable satellite platform, defense customers."
US_POLICY_021,NASA SBIR/STTR,US,US,Technology;Financing,Official,https://www.nasa.gov/sbir_sttr/,A_Active,"Early space compute, onboard autonomy, avionics, AI, and component projects."
US_TECH_022,Northrop Grumman Space,US,US,Technology;Financing,Company,https://www.northropgrumman.com/space,A_Active,"Cygnus, Antares, Gateway HALO, defense space contracts."
US_TECH_023,Planet,US,US,Technology;Financing,Company,https://www.planet.com/company/news/,A_Active,"Remote sensing products, government contracts, AI/data products, earnings."
US_FINANCING_017,Redwire Space,US,US,Technology;Financing,Filing,https://redwirespace.com/newsroom/,A_Active,"In-space manufacturing, biotech, solar arrays, infrastructure."
US_FINANCING_018,Rocket Lab,US,Global,Technology;Financing,Filing,https://www.rocketlabusa.com/,A_Active,original country value normalized from: US/Global
US_FINANCING_019,SBIR.gov,US,US,Technology;Financing,Database,https://www.sbir.gov/,A_Active,Early non-dilutive US small-business funding.
US_TECH_024,Sidus Space / Exo-Space,US,US,Technology;Financing,Company,https://sidusspace.com/news/,A_Active,Exo-Space acquired by Sidus; maintain under parent source unless a separate newsroom reappears
US_TECH_025,Sierra Space,US,US,Technology;Financing,Company,https://www.sierraspace.com/,A_Active,"Dream Chaser, LIFE Habitat, Orbital Reef, cargo services."
US_FINANCING_020,SpaceWERX,US,US,Technology;Financing,Company,https://spacewerx.us/,A_Active,Early commercial space funding and prototype contracts.
US_TECH_026,Umbra,US,US,Technology;Financing,Company,https://umbra.space/blog/,A_Active,"High-resolution SAR, satellite systems, government/commercial customers."
US_TECH_027,Varda Space Industries,US,US,Technology;Financing,Company,https://www.varda.com/,A_Active,In-space pharmaceutical manufacturing and reentry capsules.
US_TECH_028,Vast Space,US,US,Technology;Financing,Company,https://www.vastspace.com/,A_Active,"Haven-1, commercial station interfaces, microgravity research partners."
US_TECH_029,Aethero,US,US,Technology;Financing;Chip_AI_Compute,Company,https://www.aethero.com/,A_Active,Space-rated edge computing modules and radiation-tolerant compute direction.
US_TECH_030,Ramon.Space,US,Global,Technology;Financing;Chip_AI_Compute,Company,https://ramon.space/press/,A_Active,original country value normalized from: US/Global
US_FINANCING_021,TechCrunch,US,Global,Technology;Financing;Chip_AI_Compute,Financial_Media,https://techcrunch.com/,A_Active,original country value normalized from: US/Global
US_TECH_031,NASA TechPort,US,US,Technology;Financing;Market_Background,Database,https://techport.nasa.gov/,A_Active,Added based on space-compute weekly brief requirements.
CN_FINANCING_015,北交所 BSE,China,China,Financing;Chip_AI_Compute,Exchange,https://www.bse.cn/,Backup,Specialized supply-chain companies.
CN_FINANCING_016,新浪财经 / Sina Finance,China,China,Financing;Chip_AI_Compute;Market_Background,Financial_Media,https://finance.sina.com.cn/,S_Core,"China market news, listed-company and industry financing signals."
CN_POLICY_012,国家网信办 / 中国网信网,China,China,Policy,Official,https://www.cac.gov.cn/,Backup,"AI governance, algorithm filing, satellite data compliance crossover."
CN_POLICY_013,国家数据局,China,China,Policy;Chip_AI_Compute,Official,https://www.nda.gov.cn/,Backup,"Data elements, compute infrastructure, Digital China crossover."
CN_CHIP_AI_003,中国半导体行业协会,China,China,Policy;Chip_AI_Compute;Market_Background,Company,https://www.csia.net.cn/,Backup,useful only when chip / AI compute overlaps with space
CN_CHIP_AI_004,中国算力网 / 算力产业联盟类来源,China,China,Policy;Chip_AI_Compute;Market_Background,Other,N/A,Backup,original entry had no explicit URL: Search/manual; verify elsewhere / cross-check with official source; useful only when chip / AI compute overlaps with space
CN_CHIP_AI_005,经济日报,China,China,Policy;Chip_AI_Compute;Market_Background,Industry_Media,https://www.ce.cn/,Backup,China industrial policy and space compute analysis.
CN_TECH_017,中国电子 CEC,China,China,Policy;Technology;Chip_AI_Compute,Company,https://www.cec.com.cn/,Backup,"Chips, advanced compute, information infrastructure, potential space-information crossover."
CN_TECH_018,中国电科 CETC,China,China,Policy;Technology;Chip_AI_Compute,Company,https://www.cetc.com.cn/,Backup,"Satellite communications, electronic information, radar, payloads, defense electronics."
CN_POLICY_014,央视新闻 CMG,China,China,Policy;Technology;Chip_AI_Compute,Official,https://news.cctv.com/,Backup,National-level technology and official statements.
CN_TECH_019,CALT / 一院,China,China,Technology,Company,https://www.calt.com/,Backup,"Launch vehicle design, reusable and heavy-lift context."
CN_TECH_020,CAST / 五院,China,China,Technology,Company,https://www.cast.cn/,Backup,"Satellite platforms, spacecraft, deep-space probes."
CN_TECH_021,CMSA,China,China,Technology,Company,https://www.cmse.gov.cn/,Backup,China space station operations and experiments.
CN_TECH_022,航天科工集团 CASIC,China,China,Technology,Company,https://www.casic.com/,Backup,"Kuaizhou, satellite internet, state-owned commercial programs."
CN_TECH_023,航天科技集团 CASC,China,China,Technology,Company,https://www.spacechina.com/,Backup,"Long March, Shenzhou/Tianzhou, satellite platform official wording."
CN_CHIP_AI_006,半导体行业观察,China,China,Technology;Chip_AI_Compute;Market_Background,Company,https://www.semiinsights.com/,Backup,useful only when chip / AI compute overlaps with space
CN_CHIP_AI_007,电子工程专辑 EET China,China,China,Technology;Chip_AI_Compute;Market_Background,Company,https://www.eet-china.com/,Backup,useful only when chip / AI compute overlaps with space
CN_TECH_024,九天微星 Commsat,China,China,Technology;Financing,Company,https://www.commsat.cn/,Backup,"Small satellites, satellite IoT, historical satellite-internet industry signal."
CN_TECH_025,零重力实验室,China,China,Technology;Financing,Company,N/A,Backup,original entry had no explicit URL: Search/manual; verify elsewhere / cross-check with official source
CN_CHIP_AI_008,爱集微,China,China,Technology;Financing;Chip_AI_Compute,Company,https://www.ijiwei.com/,Backup,useful only when chip / AI compute overlaps with space
CN_CHIP_AI_009,芯东西,China,China,Technology;Financing;Chip_AI_Compute,Company,https://www.zhidx.com/c/chip,Backup,verify elsewhere / cross-check with official source; useful only when chip / AI compute overlaps with space
CN_TECH_026,鹏城实验室 PCL,China,China,Technology;Policy;Chip_AI_Compute;Market_Background,Research_Institute,https://pcl.ac.cn/,Watch,Added based on space-compute weekly brief requirements.
EU_TECH_005,Teledyne e2v / Space Imaging,Europe,Global,Technology,Company,https://www.teledyne-e2v.com/en-us/solutions/imaging,Backup,original country value normalized from: Europe/US
EU_CHIP_AI_001,Infineon Space Applications / IR HiRel,Europe,Global,Technology;Chip_AI_Compute,Company,https://www.infineon.com/applications/aerospace-and-defense/space-applications,Watch,Added based on space-compute weekly brief requirements.
EU_CHIP_AI_002,STMicroelectronics Space Products,Europe,Global,Technology;Chip_AI_Compute,Company,https://www.st.com/en/space-products.html,Watch,Added based on space-compute weekly brief requirements.
EU_TECH_006,ESA Phi-lab,Europe,International,Technology;Financing;Market_Background,Research_Institute,https://philab.esa.int/,Watch,Added based on space-compute weekly brief requirements.
GLOBAL_CHIP_AI_002,Gartner,Global,Global,Chip_AI_Compute;Market_Background,Other,N/A,Backup,subscription required; useful only when chip / AI compute overlaps with space; split from original bundled entry: Gartner / IDC / Omdia
GLOBAL_CHIP_AI_003,IDC,Global,Global,Chip_AI_Compute;Market_Background,Other,N/A,Backup,subscription required; useful only when chip / AI compute overlaps with space; split from original bundled entry: Gartner / IDC / Omdia
GLOBAL_CHIP_AI_004,Omdia,Global,Global,Chip_AI_Compute;Market_Background,Other,N/A,Backup,subscription required; useful only when chip / AI compute overlaps with space; split from original bundled entry: Gartner / IDC / Omdia
GLOBAL_CHIP_AI_005,EE Times,Global,Global,Technology;Chip_AI_Compute;Market_Background,Company,https://www.eetimes.com/,Backup,useful only when chip / AI compute overlaps with space
GLOBAL_CHIP_AI_006,Semiconductor Engineering,Global,Global,Technology;Chip_AI_Compute;Market_Background,Company,https://semiengineering.com/,Backup,useful only when chip / AI compute overlaps with space
GLOBAL_TECH_003,Satellogic,Global,Global,Technology;Financing,Company,https://satellogic.com/news/,Backup,"Low-cost EO constellation, data products, sovereign satellite sales."
JP_CHIP_AI_002,Renesas Space and Harsh Environment,Japan,Global,Technology;Chip_AI_Compute,Company,https://www.renesas.com/en/products/space-harsh-environment,Watch,Added based on space-compute weekly brief requirements.
US_POLICY_022,GAO,US,US,Policy,Official,https://www.gao.gov/,Backup,Audits and program execution risk for space procurement.
US_POLICY_023,RAND,US,US,Policy;Chip_AI_Compute;Market_Background,Think_Tank,https://www.rand.org/,Backup,Strategy and defense-industrial analysis.
US_POLICY_024,CNAS,US,US,Policy;Market_Background,Think_Tank,https://www.cnas.org/,Backup,"AI, national security, defense space."
US_TECH_032,The Aerospace Corporation,US,US,Policy;Technology;Market_Background,Research_Institute,https://aerospace.org/,Watch,Added based on space-compute weekly brief requirements.
